Designator,Value,Digikey Part Number,Package
C1,100nF,490-7998-1-ND,C0402
C2,100nF,490-7998-1-ND,C0402
C3,100nF,490-7998-1-ND,C0402
C4,100nF,490-7998-1-ND,C0402
C5,100nF,490-7998-1-ND,C0402
C6,100nF,490-7998-1-ND,C0402
C7,100nF,490-7998-1-ND,C0402
C8,100nF,490-7998-1-ND,C0402
C9,100nF,490-7998-1-ND,C0402
C10,100nF,490-7998-1-ND,C0402
C11,100nF,490-7998-1-ND,C0402
C12,100nF,490-7998-1-ND,C0402
C13,1uF,587-3766-1-ND,C0402
C14,100nF,490-7998-1-ND,C0402
IC1,SST25PF040CT-40E_SN,SST25PF040CT-40E/SNCT-ND,
J1,BMP388,828-1079-1-ND,
J2,BMP388,828-1079-1-ND,
J3,BMP388,828-1079-1-ND,
J4,BMP388,828-1079-1-ND,
J5,BMP388,828-1079-1-ND,
J6,BMP388,828-1079-1-ND,
