timestamp,temp 1,press 1,temp 2,press 2,temp 3,press 3
press 2, press 3
2619.99,1005.66
2619.99,1005.73
2619.99,1005.80
2619.99,1005.71
2619.99,1005.71
2619.99,1005.73
2619.99,1005.72
2619.99,1005.76
2619.99,1005.64
2619.99,1005.72
2619.99,1005.73
2619.99,1005.66
2619.99,1005.80
2619.99,1005.73
2619.99,1005.73
2619.99,1005.71
2619.99,1005.62
2619.99,1005.66
2619.99,1005.83
2619.99,1005.75
2619.99,1005.69
2619.99,1005.65
2619.99,1005.72
2619.99,1005.69
2619.99,1005.64
2619.99,1005.62
2619.99,1005.76
2619.99,1005.71
2619.99,1005.76
2619.99,1005.62
2619.99,1005.73
2619.99,1005.65
2619.99,1005.66
2619.99,1005.69
2619.99,1005.73
2619.99,1005.74
2619.99,1005.73
2619.99,1005.73
2619.99,1005.67
2619.99,1005.65
2619.99,1005.70
2619.99,1005.82
2619.99,1005.73
2619.99,1005.81
2619.99,1005.65
2619.99,1005.69
2619.99,1005.75
2619.99,1005.74
2619.99,1005.75
2619.99,1005.66
2619.99,1005.78
2619.99,1005.78
2619.99,1005.70
2619.99,1005.73
2619.99,1005.72
2619.99,1005.75
2619.99,1005.71
2619.99,1005.71
2619.99,1005.75
2619.99,1005.74
2619.99,1005.65
2619.99,1005.72
2619.99,1005.74
2619.99,1005.69
2619.99,1005.70
2619.99,1005.81
2619.99,1005.65
2619.99,1005.73
2619.99,1005.69
2619.99,1005.69
2619.99,1005.68
2619.99,1005.72
2619.99,1005.70
2619.99,1005.72
2619.99,1005.78
2619.99,1005.69
2619.99,1005.72
2619.99,1005.64
2619.99,1005.77
2619.99,1005.66
2619.99,1005.66
2619.99,1005.76
2619.99,1005.73
2619.99,1005.72
2619.99,1005.66
2619.99,1005.65
2619.99,1005.66
2619.99,1005.73
2619.99,1005.76
2619.99,1005.62
2619.99,1005.68
2619.99,1005.64
2619.99,1005.66
2619.99,1005.69
2619.99,1005.80
2619.99,1005.71
2619.99,1005.62
2619.99,1005.72
2619.99,1005.55
2619.99,1005.66
2619.99,1005.71
2619.99,1005.71
2619.99,1005.68
2619.99,1005.66
2619.99,1005.72
2619.99,1005.68
2619.99,1005.65
2619.99,1005.74
2619.99,1005.69
2619.99,1005.69
2619.99,1005.61
2619.99,1005.61
2619.99,1005.65
2619.99,1005.66
2619.99,1005.73
2619.99,1005.79
2619.99,1005.65
2619.99,1005.83
2619.99,1005.66
2619.99,1005.78
2619.99,1005.69
2619.99,1005.62
2619.99,1005.73
2619.99,1005.69
2619.99,1005.74
2619.99,1005.65
2619.99,1005.64
2619.99,1005.65
2619.99,1005.62
2619.99,1005.73
2619.99,1005.76
2619.99,1005.69
2619.99,1005.73
2619.99,1005.66
2619.99,1005.69
2619.99,1005.65
2619.99,1005.73
2619.99,1005.65
2619.99,1005.71
2619.99,1005.65
2619.99,1005.73
2619.99,1005.66
2619.99,1005.73
2619.99,1005.73
2619.99,1005.65
2619.99,1005.71
2619.99,1005.83
2619.99,1005.68
2619.99,1005.77
2619.99,1005.71
2619.99,1005.61
2619.99,1005.64
2619.99,1005.62
2619.99,1005.58
2619.99,1005.66
2619.99,1005.62
2619.99,1005.66
2619.99,1005.65
2619.99,1005.71
2619.99,1005.71
2619.99,1005.71
2619.99,1005.65
2619.99,1005.72
2619.99,1005.72
2619.99,1005.74
2619.99,1005.69
2619.99,1005.65
2619.99,1005.64
2619.99,1005.69
2619.99,1005.73
2619.99,1005.76
2619.99,1005.73
2619.99,1005.70
2619.99,1005.58
2619.99,1005.78
2619.99,1005.74
2619.99,1005.75
2619.99,1005.65
2619.99,1005.69
2619.99,1005.61
2619.99,1005.74
2619.99,1005.71
2619.99,1005.64
2619.99,1005.78
2619.99,1005.65
2619.99,1005.70
2619.99,1005.74
2619.99,1005.68
2619.99,1005.66
2619.99,1005.64
